compound	INCHI-KEY	MOLECULAR-WEIGHT	COMMON-NAME	SMILES
13-BETA-D-GALACTOSYL-N-ACETYL-D-GLU			a lactotetraosylceramide	
13-BETA-D-GALACTOSYL-N-ACETYL-D-GLU			a &beta;-D-galactosyl-(1&rarr;3)-N-acetyl-&beta;-D-glucosaminyl-(1&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-&beta;-D-glucosyl-(1&harr;1)ceramide	
13-BETA-D-GALACTOSYL-N-ACETYL-D-GLU			a &beta;-D-galactosyl-(1,3)-N-acetyl-&beta;-D-glucosaminyl-(1,3)-&beta;-D-galactosyl-(1,4)-&beta;-D-glucosyl-(1&harr;1)-ceramide	
CPD-5662	InChIKey=ZARFDBYKHCOTRH-UHFFFAOYSA-M	245.316    	9-mercaptodethiobiotin	C(S)C1(C(NC(N1)=O)CCCCCC(=O)[O-])
CPD-5662			9-mercaptodesthiobiotin	
CPD-7414	InChIKey=QABFXOMOOYWZLZ-GDBZIMIPSA-N	536.882    	&epsilon;-carotene	CC(=CC=CC=C(C)C=CC=C(C)C=CC1(C(C)(C)CCC=C(C)1))C=CC=C(C)C=CC2(C(C)=CCCC(C)(C)2)
CPD-7414			&epsilon;,&epsilon;-carotene	
CPD-2542	InChIKey=MLOJGZHQNWCBAC-UHFFFAOYSA-L	184.105    	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal	C(=O)([O-])C1(C=C(C([O-])=O)OC(O)C=1)
CPD-2542			6-hydroxy-6H-pyran-2,4-dicarboxylate	
AN-ALPHA-L-FUCOSIDE			&alpha;-L-fucoside	CC1(OC(O[R])C(O)C(O)C(O)1)
LONG-CHAIN-KETONE			a ketone	
CPD-15655	InChIKey=HVXCCJIYXIZGOP-NADLOITOSA-J	929.765    	3-trans-undecenoyl-CoA	CCCCCCCC=CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
CPD-15655			3E-undecenoyl-CoA	
CARBAMATE	InChIKey=KXDHJXZQYSOELW-UHFFFAOYSA-M	60.032    	carbamate	C(=O)([O-])N
CARBAMATE			carbamic acid	
CARBAMATE			aminoformic acid	
Fructans			a fructan	
CPD-108	InChIKey=IWDCLRJOBJJRNH-UHFFFAOYSA-N	108.14    	4-methylphenol	CC1(C=CC(=CC=1)O)
CPD-108			4-hydroxytoluene	
CPD-108			p-hydroxytoluene	
CPD-108			4-cresol	
CPD-108			p-cresol	
