entity_xref	has_metadata@xref	concerns@reaction	concerns@pathway	concerns@compound
TREHALA-RXN_xrefs_TREHALA-RXN__	TREHALA-RXN_xrefs	TREHALA-RXN		
RXN-602_xrefs_RXN-602__	RXN-602_xrefs	RXN-602		
ENOYL-COA-DELTA-ISOM-RXN_xrefs_ENOYL-COA-DELTA-ISOM-RXN__	ENOYL-COA-DELTA-ISOM-RXN_xrefs	ENOYL-COA-DELTA-ISOM-RXN		
RXN-14089_xrefs_RXN-14089__	RXN-14089_xrefs	RXN-14089		
3.1.21.5-RXN_xrefs_3.1.21.5-RXN__	3.1.21.5-RXN_xrefs	3.1.21.5-RXN		
RXN0-1147_xrefs_RXN0-1147__	RXN0-1147_xrefs	RXN0-1147		
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN_xrefs_N-CARBAMOYLPUTRESCINE-AMIDASE-RXN__	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN_xrefs	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN		
PREPHENATE-TRANSAMINE-RXN_xrefs_PREPHENATE-TRANSAMINE-RXN__	PREPHENATE-TRANSAMINE-RXN_xrefs	PREPHENATE-TRANSAMINE-RXN		
RXN-7651_xrefs_RXN-7651__	RXN-7651_xrefs	RXN-7651		
GCVP-RXN_xrefs_GCVP-RXN__	GCVP-RXN_xrefs	GCVP-RXN		
CYSTEINE--TRNA-LIGASE-RXN_xrefs_CYSTEINE--TRNA-LIGASE-RXN__	CYSTEINE--TRNA-LIGASE-RXN_xrefs	CYSTEINE--TRNA-LIGASE-RXN		
3.4.21.83-RXN_xrefs_3.4.21.83-RXN__	3.4.21.83-RXN_xrefs	3.4.21.83-RXN		
PGLUCONDEHYDRAT-RXN_xrefs_PGLUCONDEHYDRAT-RXN__	PGLUCONDEHYDRAT-RXN_xrefs	PGLUCONDEHYDRAT-RXN		
KDO-8PSYNTH-RXN_xrefs_KDO-8PSYNTH-RXN__	KDO-8PSYNTH-RXN_xrefs	KDO-8PSYNTH-RXN		
DGTPTRIPHYDRO-RXN_xrefs_DGTPTRIPHYDRO-RXN__	DGTPTRIPHYDRO-RXN_xrefs	DGTPTRIPHYDRO-RXN		
SPERMIDINESYN-RXN_xrefs_SPERMIDINESYN-RXN__	SPERMIDINESYN-RXN_xrefs	SPERMIDINESYN-RXN		
RXN1F-66_xrefs_RXN1F-66__	RXN1F-66_xrefs	RXN1F-66		
PECTINESTERASE-RXN_xrefs_PECTINESTERASE-RXN__	PECTINESTERASE-RXN_xrefs	PECTINESTERASE-RXN		
3.6.3.6-RXN_xrefs_3.6.3.6-RXN__	3.6.3.6-RXN_xrefs	3.6.3.6-RXN		
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN_xrefs_ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN__	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN_xrefs	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN		
RXN-11486_xrefs_RXN-11486__	RXN-11486_xrefs	RXN-11486		
RXN-7970_xrefs_RXN-7970__	RXN-7970_xrefs	RXN-7970		
PYRIMSYN3-RXN_xrefs_PYRIMSYN3-RXN__	PYRIMSYN3-RXN_xrefs	PYRIMSYN3-RXN		
RXN-12565_xrefs_RXN-12565__	RXN-12565_xrefs	RXN-12565		
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN_xrefs_2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN__	2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN_xrefs	2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN		
3.1.4.36-RXN_xrefs_3.1.4.36-RXN__	3.1.4.36-RXN_xrefs	3.1.4.36-RXN		
3.4.22.33-RXN_xrefs_3.4.22.33-RXN__	3.4.22.33-RXN_xrefs	3.4.22.33-RXN		
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN_xrefs_ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN__	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN_xrefs	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN		
RXN-4161_xrefs_RXN-4161__	RXN-4161_xrefs	RXN-4161		
LEUCPEL-RXN_xrefs_LEUCPEL-RXN__	LEUCPEL-RXN_xrefs	LEUCPEL-RXN		
4.99.1.3-RXN_xrefs_4.99.1.3-RXN__	4.99.1.3-RXN_xrefs	4.99.1.3-RXN		
RXN-13685_xrefs_RXN-13685__	RXN-13685_xrefs	RXN-13685		
RXN-7644_xrefs_RXN-7644__	RXN-7644_xrefs	RXN-7644		
NICONUCADENYLYLTRAN-RXN_xrefs_NICONUCADENYLYLTRAN-RXN__	NICONUCADENYLYLTRAN-RXN_xrefs	NICONUCADENYLYLTRAN-RXN		
RXN-6222_xrefs_RXN-6222__	RXN-6222_xrefs	RXN-6222		
5.5.1.2-RXN_xrefs_5.5.1.2-RXN__	5.5.1.2-RXN_xrefs	5.5.1.2-RXN		
RXN-17679_xrefs_RXN-17679__	RXN-17679_xrefs	RXN-17679		
RXN-10827_xrefs_RXN-10827__	RXN-10827_xrefs	RXN-10827		
NITRIC-OXIDE-SYNTHASE-RXN_xrefs_NITRIC-OXIDE-SYNTHASE-RXN__	NITRIC-OXIDE-SYNTHASE-RXN_xrefs	NITRIC-OXIDE-SYNTHASE-RXN		
MRNA-GUANYLYLTRANSFERASE-RXN_xrefs_MRNA-GUANYLYLTRANSFERASE-RXN__	MRNA-GUANYLYLTRANSFERASE-RXN_xrefs	MRNA-GUANYLYLTRANSFERASE-RXN		
1.5.1.15-RXN_xrefs_1.5.1.15-RXN__	1.5.1.15-RXN_xrefs	1.5.1.15-RXN		
3.4.24.19-RXN_xrefs_3.4.24.19-RXN__	3.4.24.19-RXN_xrefs	3.4.24.19-RXN		
RXN-1381_xrefs_RXN-1381__	RXN-1381_xrefs	RXN-1381		
RXN0-3942_xrefs_RXN0-3942__	RXN0-3942_xrefs	RXN0-3942		
RXN1F-162_xrefs_RXN1F-162__	RXN1F-162_xrefs	RXN1F-162		
