pathway	COMMON-NAME	TAXONOMIC-RANGE
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	TAX-1117
PWY-1269	CMP-Kdo biosynthesis I	TAX-33090
PWY-1269		TAX-1783257
PWY-1269		TAX-1224
PWY-6416	quinate degradation II	TAX-1239
PWY-6416		TAX-201174
PWY-6416		TAX-4751
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	TAX-2759
ASPARAGINESYN-PWY		TAX-2
PWY-7093	vicianin bioactivation	TAX-78536
PWY-5473	hydroxycinnamic acid serotonin amides biosynthesis	TAX-3398
PWY-5473	hydroxycinnamic acid amides biosynthesis	
PWY-5903	bacillibactin biosynthesis	TAX-91061
PWY-5947	lutein biosynthesis	TAX-4751
PWY-5947		TAX-2763
PWY-5947		TAX-3041
PWY-5947		TAX-1117
PWY-5947		TAX-33090
PWY0-381	glycerol and glycerophosphodiester degradation	TAX-2
PWY-6369	inositol pyrophosphates biosynthesis	TAX-2759
PWY-6369	diphosphorylated inositol polyphosphates biosynthesis	
PWY-6104	3-chlorotoluene degradation II	TAX-2
PWY-5515	L-arabinose degradation II	TAX-4751
PWY-5203	soybean saponin I biosynthesis	TAX-3398
PWY-6320	phaselate biosynthesis	TAX-3803
PWY-6320	o-diphenol biosynthesis	
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	TAX-2
PWY-7579	phycourobilin biosynthesis	TAX-1117
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	TAX-33208
NADPHOS-DEPHOS-PWY		TAX-2
PWY-6624	salicylate glucosides biosynthesis III	TAX-4097
PWY-6624	salicylic acid glucosides biosynthesis III	TAX-35883
PWY-6624	salicylate glucose ester biosynthesis	ORG-5993
PWY-6624	SA glucose ester biosynthesis	
PWY-6624	SGE biosynthesis	
PWY-6168	flavin biosynthesis III (fungi)	TAX-4751
PWY-6928	superpathway of cholesterol degradation I (cholesterol oxidase)	TAX-2
P164-PWY	purine nucleobases degradation I (anaerobic)	TAX-1239
P164-PWY	purine fermentation	
PWY0-1573	nitrate reduction VIIIb (dissimilatory)	
PWY0-1573	NADH to nitrate reductase electron transfer	
PWY-5174	capsanthin and capsorubin biosynthesis	TAX-58024
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	TAX-33090
GLUGLNSYN-PWY	L-glutamate biosynthesis from L-glutamine	TAX-4751
PWY-81	toluene degradation to benzoyl-CoA (anaerobic)	TAX-1224
PWY-81	toluene oxidation (anaerobic)	
PWY-4202	arsenate detoxification I (glutaredoxin)	TAX-40674
PWY-6953	dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	TAX-2
PWY-6953	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis	
PWY-6316	aromatic polyketides biosynthesis	TAX-23216
PWY-361	phenylpropanoid biosynthesis	TAX-58024
PWY-361	monolignol biosynthesis	
PWY-361	lignin biosynthesis	
PWY-5064	chlorophyll a biosynthesis II	TAX-33090
PWY-7734	quinoxaline-2-carboxylate biosynthesis	TAX-2
PWY-7734	quinoxaline-2-carboxylic acid biosynthesis	
PWY-6040	chlorogenic acid biosynthesis II	TAX-33090
GLYOXYLATE-BYPASS	glyoxylate cycle	TAX-2157
GLYOXYLATE-BYPASS	glyoxylate bypass	TAX-2759
GLYOXYLATE-BYPASS	glyoxylate shunt	TAX-2
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	TAX-2
PWY-7323		TAX-2157
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)	TAX-2
PWY-7727	docosahexaenoate biosynthesis IV (4-desaturase, mammals)	TAX-33208
PWY-7727		TAX-2759
PWY-6133	(S)-reticuline biosynthesis II	TAX-40674
PWY-6371	superpathway of inositol phosphate compounds	TAX-2759
P341-PWY	glycolysis V (Pyrococcus)	TAX-2157
P341-PWY	archaeal Embden-Meyerhof pathway	
P341-PWY	archaeal Embden-Meyerhof-Parnas pathway	
P341-PWY	archaeal EMP pathway	
PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)	TAX-6157
PWY-7389	aspartate-succinate pathway	TAX-6231
PWY-7389		TAX-6447
PWY-7389		TAX-6340
PWY1-3	polyhydroxybutanoate biosynthesis	TAX-2157
PWY1-3	PHB biosynthesis	TAX-2
PWY1-3	polyhydroxybutyrate biosynthesis	
PWY-5981	CDP-diacylglycerol biosynthesis III	TAX-2
PWY-6454	vancomycin resistance I	TAX-2
PWY-6454	D-ala-D-lactate biosynthesis	
