pathway	is_part_of@metabolic_network	RATE
PWY-701	brassica_napus	0.33
PWY-5274	brassica_napus	1.0
PWY-3881	brassica_napus	0.33
PWY-6823	brassica_napus	1.0
PWY66-378	brassica_napus	0.5
PWY-5509	brassica_napus	0.12
PWY-7204	brassica_napus	1.0
CYANCAT-PWY	brassica_napus	0.67
PWY-7720	brassica_napus	0.67
PWY-43	brassica_napus	1.0
PWY-7498	brassica_napus	0.5
PWY-6583	brassica_napus	0.38
ASPARAGINE-BIOSYNTHESIS	brassica_napus	1.0
PWY-6265	brassica_napus	0.33
PWY-6363	brassica_napus	1.0
PWY-7767	brassica_napus	0.4
PWY-7826	brassica_napus	0.08
PWY-6773	brassica_napus	1.0
PWY-5484	brassica_napus	0.82
PWY-7049	brassica_napus	0.57
PWY0-1567	brassica_napus	0.5
DETOX1-PWY-1	brassica_napus	0.75
PWY-5049	brassica_napus	0.25
PWY-6277	brassica_napus	0.8
ETHYL-PWY	brassica_napus	1.0
PWY1F-FLAVSYN	brassica_napus	1.0
PWY-5912	brassica_napus	0.5
PWY-7205	brassica_napus	1.0
ETOH-ACETYLCOA-ANA-PWY	brassica_napus	0.5
PWY-7285	brassica_napus	0.5
PWY66-423	brassica_napus	1.0
PWY-7402	brassica_napus	0.33
PWY-6852	brassica_napus	1.0
PWY-7795	brassica_napus	0.5
PWY-7758	brassica_napus	0.07
PWY-6938	brassica_napus	0.5
PWY-7807	brassica_napus	0.43
PWY-2541	brassica_napus	0.35
PWY-7290	brassica_napus	0.17
PWY0-1568	brassica_napus	0.5
P321-PWY	brassica_napus	0.22
PWY-3181	brassica_napus	1.0
PWY-7511	brassica_napus	0.22
PWY-5451	brassica_napus	0.5
PWY-6185	brassica_napus	0.14
PWY-6520	brassica_napus	1.0
PWY-7470	brassica_napus	0.5
PWY-6435	brassica_napus	0.8
PWY-5188	brassica_napus	1.0
PWY-6596	brassica_napus	1.0
PWY-6959	brassica_napus	0.2
PWY-6598	brassica_napus	0.8
PWY-6765	brassica_napus	1.0
PWY-6477	brassica_napus	0.5
PWY-6386	brassica_napus	0.12
PWY-5068	brassica_napus	0.83
PWY-6769	brassica_napus	0.17
PWY-4321	brassica_napus	0.8
PWY-5408	brassica_napus	0.5
PWY-4661	brassica_napus	0.57
PWY-5203	brassica_napus	0.12
PWY-5710	brassica_napus	0.17
PWY-6467	brassica_napus	0.67
PWY-5403	brassica_napus	0.5
PWY-6946	brassica_napus	0.32
PWY-5332	brassica_napus	1.0
PWY-6416	brassica_napus	0.33
PWY-4101	brassica_napus	0.67
ASPARAGINESYN-PWY	brassica_napus	1.0
PWY-5086	brassica_napus	1.0
PWY-6317	brassica_napus	1.0
PWY-6454	brassica_napus	0.67
PWY-6423	brassica_napus	0.14
PWY-7219	brassica_napus	1.0
PWY-5530	brassica_napus	0.33
PWY-6132	brassica_napus	1.0
PWY-6748	brassica_napus	0.2
MANNCAT-PWY	brassica_napus	1.0
PWY-6002	brassica_napus	0.5
PWY-6784	brassica_napus	0.67
PWY-6258	brassica_napus	0.2
GALACTARDEG-PWY	brassica_napus	0.25
PWY-6035	brassica_napus	1.0
PWY-6457	brassica_napus	1.0
PWY-7213	brassica_napus	0.67
PWY-6936	brassica_napus	0.8
PWY-7411	brassica_napus	0.6
PWY-6643	brassica_napus	0.17
PWY-922	brassica_napus	1.0
PWY-3162	brassica_napus	0.15
PWY-6958	brassica_napus	0.62
PWY-5175	brassica_napus	0.33
PWY-7728	brassica_napus	0.6
PWY-7277	brassica_napus	0.67
PWY-6679	brassica_napus	0.11
PWY-5663	brassica_napus	0.33
BETSYN-PWY	brassica_napus	0.5
PWY-7343	brassica_napus	1.0
PWY-5691	brassica_napus	1.0
PWY-7003	brassica_napus	1.0
TRPIAACAT-PWY	brassica_napus	1.0
PWY-6857	brassica_napus	0.43
PWY-6892	brassica_napus	0.86
PWY-7111	brassica_napus	0.8
PWY-5406	brassica_napus	0.25
PWY-6316	brassica_napus	0.5
PWY-7093	brassica_napus	1.0
PWY-6974	brassica_napus	0.14
PWY-6364	brassica_napus	0.67
PWY-3821	brassica_napus	1.0
PWY-5083	brassica_napus	0.67
PWY-7234	brassica_napus	0.5
PWY-7339	brassica_napus	0.5
PWY-5660	brassica_napus	0.08
PWY-7312	brassica_napus	0.25
PWY-6309	brassica_napus	0.09
PWYQT-4427	brassica_napus	1.0
PWY-5473	brassica_napus	0.17
LEUSYN-PWY	brassica_napus	0.83
GLUCONSUPER-PWY	brassica_napus	1.0
PWY0-1275	brassica_napus	0.5
PWY-6906	brassica_napus	0.38
PWY-5194	brassica_napus	0.75
P105-PWY	brassica_napus	0.91
PWY-6943	brassica_napus	0.67
COA-PWY	brassica_napus	1.0
PWY-6902	brassica_napus	0.6
PWY-6124	brassica_napus	1.0
PWY-5884	brassica_napus	1.0
PWY490-4	brassica_napus	0.33
SERDEG-PWY	brassica_napus	0.33
PWY-7839	brassica_napus	0.29
PWY-2501	brassica_napus	0.25
PWY66-201	brassica_napus	0.18
FASYN-ELONG-PWY	brassica_napus	1.0
PWY0-1415	brassica_napus	1.0
PWY-722	brassica_napus	0.17
PWY-6992	brassica_napus	0.8
PWY-7342	brassica_napus	0.33
GLUCARDEG-PWY	brassica_napus	0.25
PWY-7591	brassica_napus	0.17
PWY-5743	brassica_napus	0.36
PWY-7816	brassica_napus	0.12
PWY-7091	brassica_napus	0.5
PWY-5901	brassica_napus	1.0
PWY-7400	brassica_napus	0.78
PWY-6894	brassica_napus	1.0
PWY-7340	brassica_napus	0.5
PWY-7666	brassica_napus	0.33
PWY-5046	brassica_napus	1.0
TRPSYN-PWY	brassica_napus	1.0
PWY-7746	brassica_napus	0.12
GLUCONEO-PWY	brassica_napus	0.92
PWY-5298	brassica_napus	0.33
PWY-1861	brassica_napus	0.78
PWY-6908	brassica_napus	0.67
PWY-5271	brassica_napus	0.33
PWY-6167	brassica_napus	0.3
PWY-6320	brassica_napus	0.4
PWY0-1581	brassica_napus	0.5
PWY-4302	brassica_napus	1.0
PWY-5676	brassica_napus	0.4
PWY-5060	brassica_napus	0.5
PWY-6032	brassica_napus	0.33
PWY0-1336	brassica_napus	0.5
PWY-6330	brassica_napus	1.0
PWY-2582	brassica_napus	0.24
HISTSYN-PWY	brassica_napus	1.0
GLUTSYNIII-PWY	brassica_napus	1.0
PWY-31	brassica_napus	0.5
PWY-7291	brassica_napus	0.5
P345-PWY	brassica_napus	0.67
SO4ASSIM-PWY	brassica_napus	0.5
PWY-7798	brassica_napus	0.2
PWY-7224	brassica_napus	0.67
PWY-5928	brassica_napus	0.33
PWY-7179-1	brassica_napus	0.33
PWY-5001	brassica_napus	0.2
PWY-6964	brassica_napus	1.0
PWY-1641	brassica_napus	1.0
PWY-5265	brassica_napus	0.33
PWY-7442	brassica_napus	0.29
PWY-6848	brassica_napus	0.33
PWY-7154	brassica_napus	0.12
PWY-6557	brassica_napus	0.75
PWY-5833	brassica_napus	0.33
PWY0-541	brassica_napus	1.0
PWY-6100	brassica_napus	0.5
PWY-7295	brassica_napus	0.12
PWY-7836	brassica_napus	0.05
PWY-5768	brassica_napus	1.0
PWY-6580	brassica_napus	0.67
PWY-7013	brassica_napus	0.2
PWY-7765	brassica_napus	0.2
P241-PWY	brassica_napus	0.38
PWY-761	brassica_napus	0.17
PWY-5082	brassica_napus	0.67
PWY-7007	brassica_napus	0.67
PWY-5348	brassica_napus	0.25
PWY-6733	brassica_napus	0.61
PWY-5087	brassica_napus	0.25
PWYQT-4476	brassica_napus	0.15
PWY-6876	brassica_napus	0.2
PWY-7307	brassica_napus	0.33
ALANINE-VALINESYN-PWY	brassica_napus	0.33
PWY-6011	brassica_napus	0.67
PWY-2981	brassica_napus	0.08
PWY-6948	brassica_napus	0.22
ILEUSYN-PWY	brassica_napus	0.71
PWY-5147	brassica_napus	1.0
PWY-6383	brassica_napus	0.4
PWY-7174	brassica_napus	0.25
PWY-6618	brassica_napus	1.0
PWY0-1546	brassica_napus	0.25
PWY-5523	brassica_napus	0.33
GLYSYN-THR-PWY	brassica_napus	1.0
PWY-6673	brassica_napus	0.33
CALVIN-PWY	brassica_napus	1.0
PWY-2261	brassica_napus	0.5
PWY0-1587	brassica_napus	1.0
