reconstructionData	SOURCE	CATEGORY	TOOL
NICOTINAMID-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14285_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11056_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-161_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-1223_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14903_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12381_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
--MENTHOL-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HISTCYCLOHYD-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13482_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10029_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
SEDOHEPTULOSE-BISPHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11190_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.6.3.6-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN1K-87_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-14271_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-1403_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
UDPKIN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GSAAMINOTRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RIB5PISOM-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
GDPREDUCT-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
5.5.1.13-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-14380_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17791_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9530_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-15211_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-15291_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-8342_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
MYO-INOSITOL-OXYGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-18261_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12490_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12366_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
UDP-GLUCURONATE-DECARBOXYLASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-5180_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
TRIPHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
DTDPKIN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.4.1.100-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14492_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13758_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
METHIONINE-GAMMA-LYASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.7.7.2-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
APIGNAR-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN0-5055_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14325_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
GTP-CYCLOHYDRO-II-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
PHOSPHATIDATE-PHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10089_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7716_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-482_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9661_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12346_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.4.1.207-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14354_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
