reaction	in@metabolic_network	DIRECTION	EC-NUMBER	COMMON-NAME
RXN-12181	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.19	cyclomaltodextrin glucanotransferase
RXN-14386	brassica_napus	LEFT-TO-RIGHT	EC-2.8.1.7	cysteine desulfurase
TREHALA-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.28	trehalase
RXN-602	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.19	leucocyanidin oxygenase
RXN-602				Leucoanthocyanidin dioxygenase
RXN-17930	brassica_napus	LEFT-TO-RIGHT		RNA-3'-phosphate cyclase
RXN66-15	brassica_napus	LEFT-TO-RIGHT		4,4-dimethyl-5&alpha;-cholesta-8-en-3-&beta;-ol 4-hydroxylase
RXN66-15				C-4 methylsterol oxidase
ENOYL-COA-DELTA-ISOM-RXN	brassica_napus	REVERSIBLE	EC-5.3.3.8	dodecenoyl-CoA delta-isomerase
ENOYL-COA-DELTA-ISOM-RXN				&Delta;3-cis-&Delta;2-trans-enoyl-CoA isomerase
ENOYL-COA-DELTA-ISOM-RXN				probable enoyl-CoA hydratase/isomerase
ENOYL-COA-DELTA-ISOM-RXN				probable enoyl CoA-hydratase/isomerase
RXN66-478	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.1	phytol dehydrogenase
RXN66-478				alcohol dehydrogenase (NAD)
RXN-14089	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.185	&beta;-L-arabinofuranosidase
3.1.21.5-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.21.5	
RXN0-1147	brassica_napus	REVERSIBLE	EC-2.3.1.61	dihydrolipoyltranssuccinylase
RXN0-1147				dihydrolipoyllysine-residue succinyltransferase
RXN66-146	brassica_napus	LEFT-TO-RIGHT	EC-1.14.14.1	aromatase
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.53	N-carbamoylputrescine amidase
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN				N-carbamoylputrescine amidohydrolase
RXN-14789	brassica_napus	LEFT-TO-RIGHT	EC-1.3.3.6	acyl-CoA oxidase
PREPHENATE-TRANSAMINE-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.79	glutamate-prephenate aminotransferase
RXN-7651	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13.21	flavonoid 3'-monooxygenase
RXN-13684	brassica_napus	REVERSIBLE	EC-3.5.1.14	aminoacylase
RXN-13684			EC-3.5.1.114	
RXN-17130	brassica_napus	LEFT-TO-RIGHT	EC-1.4.3.2	L-amino-acid oxidase
RXN-17607	brassica_napus	REVERSIBLE	EC-3.5.5.1	nitrilase
GCVP-RXN	brassica_napus	REVERSIBLE	EC-1.4.4.2	glycine decarboxylase
GCVP-RXN				glycine dehydrogenase (decarboxylating)
CYSTEINE--TRNA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.16	cysteine-tRNA ligase
3.4.21.83-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.21.83	oligopeptidase
RXN-10973	brassica_napus	LEFT-TO-RIGHT	EC-2.7.4.24	diphosphoinositol-pentakisphosphate kinase
PGLUCONDEHYDRAT-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.12	phosphogluconate dehydratase
RXN0-6522	brassica_napus	LEFT-TO-RIGHT	EC-3.1.26.12	ribonuclease
RXN-16114	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.93	
KDO-8PSYNTH-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.55	3-deoxy-8-phosphooctulonate synthase
DGTPTRIPHYDRO-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.5.1	dGTPase
SPERMIDINESYN-RXN	brassica_napus	REVERSIBLE	EC-2.5.1.16	spermidine synthase
RXN-17609	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.84	indole-3-acetonitrile nitrile hydratase
RXN-17609				nitrile hydratase
RXN1F-66	brassica_napus	REVERSIBLE	EC-2.5.1.62	chlorophyll synthetase
PECTINESTERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.11	pectin methylesterase
PECTINESTERASE-RXN				pectinesterase
RXN66-362	brassica_napus	LEFT-TO-RIGHT	EC-5.3.3.1	5-androstene-3,17-dione isomerase
3.6.3.6-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.6.3.6	hydrogen-exporting ATPase activity, phosphorylative mechanism
RXN-9804	brassica_napus	LEFT-TO-RIGHT	EC-1.11.2.3	plant seed peroxidase
RXN-9804				oleate peroxygenase
