rxn_cpd	concerns@reaction	consumes@compound	produces@compound	stoichiometry	compartment
RXN-12181_Starch__1_c	RXN-12181	Starch		1	c
RXN-12181__Cyclodextrins_1_c	RXN-12181		Cyclodextrins	1	c
RXN-14386_S-CD-S-SP-Complex__1_c	RXN-14386	S-CD-S-SP-Complex		1	c
RXN-14386__CD-2S-SP-Complex_1_c	RXN-14386		CD-2S-SP-Complex	1	c
TREHALA-RXN_WATER__1_c	TREHALA-RXN	WATER		1	c
TREHALA-RXN__GLC_1_c	TREHALA-RXN		GLC	1	c
TREHALA-RXN__ALPHA-GLUCOSE_1_c	TREHALA-RXN		ALPHA-GLUCOSE	1	c
TREHALA-RXN_TREHALOSE__1_c	TREHALA-RXN	TREHALOSE		1	c
RXN-602__WATER_2_c	RXN-602		WATER	2	c
RXN-602__CPD-591_1_c	RXN-602		CPD-591	1	c
RXN-602_CPD-590__1_c	RXN-602	CPD-590		1	c
RXN-602_2-KETOGLUTARATE__1_c	RXN-602	2-KETOGLUTARATE		1	c
RXN-602__SUC_1_c	RXN-602		SUC	1	c
RXN-602__CARBON-DIOXIDE_1_c	RXN-602		CARBON-DIOXIDE	1	c
RXN-602__PROTON_1_c	RXN-602		PROTON	1	c
RXN-602_OXYGEN-MOLECULE__1_c	RXN-602	OXYGEN-MOLECULE		1	c
RXN-17930_ATP__1_c	RXN-17930	ATP		1	c
RXN-17930__PPI_1_c	RXN-17930		PPI	1	c
RXN-17930_RNA-3-prime-P-cyclase-L-histidine__1_c	RXN-17930	RNA-3-prime-P-cyclase-L-histidine		1	c
RXN-17930__RNA-3-prime-P-cyclase-L-His-adenylate_1_c	RXN-17930		RNA-3-prime-P-cyclase-L-His-adenylate	1	c
RXN66-15_OXYGEN-MOLECULE__1_c	RXN66-15	OXYGEN-MOLECULE		1	c
RXN66-15_CPD-8610__1_c	RXN66-15	CPD-8610		1	c
RXN66-15_PROTON__1_c	RXN66-15	PROTON		1	c
RXN66-15__NAD-P-OR-NOP_1_c	RXN66-15		NAD-P-OR-NOP	1	c
RXN66-15__WATER_1_c	RXN66-15		WATER	1	c
RXN66-15_NADH-P-OR-NOP__1_c	RXN66-15	NADH-P-OR-NOP		1	c
RXN66-15__CPD-8611_1_c	RXN66-15		CPD-8611	1	c
ENOYL-COA-DELTA-ISOM-RXN__TRANS-D2-ENOYL-COA_1_c	ENOYL-COA-DELTA-ISOM-RXN		TRANS-D2-ENOYL-COA	1	c
ENOYL-COA-DELTA-ISOM-RXN_CIS-DELTA3-ENOYL-COA__1_c	ENOYL-COA-DELTA-ISOM-RXN	CIS-DELTA3-ENOYL-COA		1	c
RXN66-478__CPD-14926_1_c	RXN66-478		CPD-14926	1	c
RXN66-478__PROTON_1_c	RXN66-478		PROTON	1	c
RXN66-478__NADH_1_c	RXN66-478		NADH	1	c
RXN66-478_PHYTOL__1_c	RXN66-478	PHYTOL		1	c
RXN66-478_NAD__1_c	RXN66-478	NAD		1	c
RXN-14089_CPD-15094__1_c	RXN-14089	CPD-15094		1	c
RXN-14089__CPD-12046_2_c	RXN-14089		CPD-12046	2	c
RXN-14089_WATER__1_c	RXN-14089	WATER		1	c
3.1.21.5-RXN_Double-Stranded-DNAs__1_c	3.1.21.5-RXN	Double-Stranded-DNAs		1	c
3.1.21.5-RXN_WATER__1_c	3.1.21.5-RXN	WATER		1	c
