rxn_pwy	concerns@reaction	in_included_in@pathway
RXN-12181_PWY-6731	RXN-12181	PWY-6731
RXN-12181_PWY-6735	RXN-12181	PWY-6735
RXN-14386_PWY-7250	RXN-14386	PWY-7250
TREHALA-RXN_PWY0-1466	TREHALA-RXN	PWY0-1466
TREHALA-RXN_PWY0-1182	TREHALA-RXN	PWY0-1182
RXN66-15_PWY66-3	RXN66-15	PWY66-3
ENOYL-COA-DELTA-ISOM-RXN_PWY-5137	ENOYL-COA-DELTA-ISOM-RXN	PWY-5137
ENOYL-COA-DELTA-ISOM-RXN_FAO-PWY	ENOYL-COA-DELTA-ISOM-RXN	FAO-PWY
RXN66-478_PWY66-389	RXN66-478	PWY66-389
RXN0-1147_PWY-5084	RXN0-1147	PWY-5084
RXN0-1147_PWY66-398	RXN0-1147	PWY66-398
RXN66-146_PWY66-201	RXN66-146	PWY66-201
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN_ARGDEG-III-PWY	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	ARGDEG-III-PWY
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN_PWY-43	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	PWY-43
RXN-14789_PWY-7338	RXN-14789	PWY-7338
PREPHENATE-TRANSAMINE-RXN_PWY-3462	PREPHENATE-TRANSAMINE-RXN	PWY-3462
PREPHENATE-TRANSAMINE-RXN_PWY-6120	PREPHENATE-TRANSAMINE-RXN	PWY-6120
PREPHENATE-TRANSAMINE-RXN_PWY-3461	PREPHENATE-TRANSAMINE-RXN	PWY-3461
RXN-7651_PWY-5060	RXN-7651	PWY-5060
GCVP-RXN_GLYCINE-SYN2-PWY	GCVP-RXN	GLYCINE-SYN2-PWY
GCVP-RXN_GLYCLEAV-PWY	GCVP-RXN	GLYCLEAV-PWY
CYSTEINE--TRNA-LIGASE-RXN_TRNA-CHARGING-PWY	CYSTEINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY
RXN-10973_PWY-6369	RXN-10973	PWY-6369
PGLUCONDEHYDRAT-RXN_ENTNER-DOUDOROFF-PWY	PGLUCONDEHYDRAT-RXN	ENTNER-DOUDOROFF-PWY
RXN-16114_PWY-7726	RXN-16114	PWY-7726
RXN-16114_PWY-7728	RXN-16114	PWY-7728
KDO-8PSYNTH-RXN_PWY-7674	KDO-8PSYNTH-RXN	PWY-7674
KDO-8PSYNTH-RXN_PWY-1269	KDO-8PSYNTH-RXN	PWY-1269
SPERMIDINESYN-RXN_BSUBPOLYAMSYN-PWY	SPERMIDINESYN-RXN	BSUBPOLYAMSYN-PWY
RXN1F-66_PWY-5068	RXN1F-66	PWY-5068
RXN1F-66_PWY-5086	RXN1F-66	PWY-5086
RXN1F-66_PWY-7764	RXN1F-66	PWY-7764
PECTINESTERASE-RXN_PWY-7246	PECTINESTERASE-RXN	PWY-7246
PECTINESTERASE-RXN_PWY-7248	PECTINESTERASE-RXN	PWY-7248
RXN66-362_PWY66-378	RXN66-362	PWY66-378
RXN-9804_PWY-321	RXN-9804	PWY-321
RXN-16118_PWY-6453	RXN-16118	PWY-6453
RXN-11486_PWY-6520	RXN-11486	PWY-6520
RXN66-469_PWY66-387	RXN66-469	PWY66-387
RXN-7970_P241-PWY	RXN-7970	P241-PWY
RXN-7970_LYSINE-AMINOAD-PWY	RXN-7970	LYSINE-AMINOAD-PWY
RXN-7970_PWY-3081	RXN-7970	PWY-3081
PYRIMSYN3-RXN_PWY-7282	PYRIMSYN3-RXN	PWY-7282
PYRIMSYN3-RXN_PWY-7356	PYRIMSYN3-RXN	PWY-7356
PYRIMSYN3-RXN_PWY-6890	PYRIMSYN3-RXN	PWY-6890
PYRIMSYN3-RXN_PWY-6910	PYRIMSYN3-RXN	PWY-6910
PYRIMSYN3-RXN_PWY-7357	PYRIMSYN3-RXN	PWY-7357
RXN-12565_PWY-6863	RXN-12565	PWY-6863
RXN66-168_PWY66-221	RXN66-168	PWY66-221
RXN-4161_PWY-2541	RXN-4161	PWY-2541
LEUCPEL-RXN_PWY-7267	LEUCPEL-RXN	PWY-7267
RXN66-163_PWY66-221	RXN66-163	PWY66-221
TEICHOICSYN5-RXN_TEICHOICACID-PWY	TEICHOICSYN5-RXN	TEICHOICACID-PWY
4.99.1.3-RXN_PWY-7377	4.99.1.3-RXN	PWY-7377
RXN0-6479_PWY0-1479	RXN0-6479	PWY0-1479
RXN-7644_PWY-4101	RXN-7644	PWY-4101
NICONUCADENYLYLTRAN-RXN_PYRIDNUCSAL-PWY	NICONUCADENYLYLTRAN-RXN	PYRIDNUCSAL-PWY
NICONUCADENYLYLTRAN-RXN_PWY-5381	NICONUCADENYLYLTRAN-RXN	PWY-5381
NICONUCADENYLYLTRAN-RXN_PWY-5653	NICONUCADENYLYLTRAN-RXN	PWY-5653
NICONUCADENYLYLTRAN-RXN_PWY-7761	NICONUCADENYLYLTRAN-RXN	PWY-7761
NICONUCADENYLYLTRAN-RXN_PYRIDNUCSYN-PWY	NICONUCADENYLYLTRAN-RXN	PYRIDNUCSYN-PWY
RXN-11625_PWY-6577	RXN-11625	PWY-6577
RXN-16219_PWY-6917	RXN-16219	PWY-6917
5.5.1.2-RXN_PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	5.5.1.2-RXN	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
RXN-10827_PWY-6322	RXN-10827	PWY-6322
RXN-10827_PWY-7769	RXN-10827	PWY-7769
NITRIC-OXIDE-SYNTHASE-RXN_PWY-6845	NITRIC-OXIDE-SYNTHASE-RXN	PWY-6845
NITRIC-OXIDE-SYNTHASE-RXN_PWY-4983	NITRIC-OXIDE-SYNTHASE-RXN	PWY-4983
RXN-16153_PWY-6433	RXN-16153	PWY-6433
MRNA-GUANYLYLTRANSFERASE-RXN_PWY-7375	MRNA-GUANYLYLTRANSFERASE-RXN	PWY-7375
RXN-11474_PWY-6519	RXN-11474	PWY-6519
1.5.1.15-RXN_PWY-2201	1.5.1.15-RXN	PWY-2201
RXN-13417_PWY-5905	RXN-13417	PWY-5905
RXN66-11_PWY66-3	RXN66-11	PWY66-3
ARG-OXIDATION-RXN_ARGDEG-IV-PWY	ARG-OXIDATION-RXN	ARGDEG-IV-PWY
RXN-10062_PWYG-321	RXN-10062	PWYG-321
RXN-10062_PWY-6113	RXN-10062	PWY-6113
RXN-12415_PWY-5936	RXN-12415	PWY-5936
RXN-16954_PWY-7698	RXN-16954	PWY-7698
RXN-1381_PWY-5667	RXN-1381	PWY-5667
RXN-1381_TRIGLSYN-PWY	RXN-1381	TRIGLSYN-PWY
RXN0-3942_PWY0-1221	RXN0-3942	PWY0-1221
RXN1F-162_PWY-5070	RXN1F-162	PWY-5070
ACETYL-COA-CARBOXYLTRANSFER-RXN_PWY-5744	ACETYL-COA-CARBOXYLTRANSFER-RXN	PWY-5744
ACETYL-COA-CARBOXYLTRANSFER-RXN_PWY-6722	ACETYL-COA-CARBOXYLTRANSFER-RXN	PWY-6722
ACETYL-COA-CARBOXYLTRANSFER-RXN_PWY-7388	ACETYL-COA-CARBOXYLTRANSFER-RXN	PWY-7388
ACETYL-COA-CARBOXYLTRANSFER-RXN_PWY-4381	ACETYL-COA-CARBOXYLTRANSFER-RXN	PWY-4381
ACETYL-COA-CARBOXYLTRANSFER-RXN_PWY-6679	ACETYL-COA-CARBOXYLTRANSFER-RXN	PWY-6679
ACETYL-COA-CARBOXYLTRANSFER-RXN_PWY-5743	ACETYL-COA-CARBOXYLTRANSFER-RXN	PWY-5743
ACETYL-COA-CARBOXYLTRANSFER-RXN_PWY-5789	ACETYL-COA-CARBOXYLTRANSFER-RXN	PWY-5789
6PGLUCONOLACT-RXN_RUMP-PWY	6PGLUCONOLACT-RXN	RUMP-PWY
6PGLUCONOLACT-RXN_OXIDATIVEPENT-PWY	6PGLUCONOLACT-RXN	OXIDATIVEPENT-PWY
6PGLUCONOLACT-RXN_P122-PWY	6PGLUCONOLACT-RXN	P122-PWY
6PGLUCONOLACT-RXN_GLYCOLYSIS-E-D	6PGLUCONOLACT-RXN	GLYCOLYSIS-E-D
RXN0-949_PWY0-1275	RXN0-949	PWY0-1275
RXN0-949_PWY0-501	RXN0-949	PWY0-501
RXN0-949_PWY-6987	RXN0-949	PWY-6987
RXN3O-4113_PWY3O-4108	RXN3O-4113	PWY3O-4108
RXN3O-4113_PWY-6802	RXN3O-4113	PWY-6802
RXN-17878_PWY-7800	RXN-17878	PWY-7800
RXNQT-4328_PWYQT-4475	RXNQT-4328	PWYQT-4475
RXN-10699_PWY-735	RXN-10699	PWY-735
2.4.1.143-RXN_PWY-7426	2.4.1.143-RXN	PWY-7426
RXN-14492_PWY-6433	RXN-14492	PWY-6433
ACYLACPSYNTH-RXN_PWY-7032	ACYLACPSYNTH-RXN	PWY-7032
RXN-16113_PWY-7728	RXN-16113	PWY-7728
RXN-16113_PWY-7726	RXN-16113	PWY-7726
R310-RXN_PWY-7308	R310-RXN	PWY-7308
RXN-9523_PWY-5971	RXN-9523	PWY-5971
PROGESTERONE-5-ALPHA-REDUCTASE-RXN_PWY-7455	PROGESTERONE-5-ALPHA-REDUCTASE-RXN	PWY-7455
PROGESTERONE-5-ALPHA-REDUCTASE-RXN_PWY-6032	PROGESTERONE-5-ALPHA-REDUCTASE-RXN	PWY-6032
RXN-5962_PWY-5947	RXN-5962	PWY-5947
RXN-16559_PWY-7656	RXN-16559	PWY-7656
RXN-7682_PWY-6596	RXN-7682	PWY-6596
RXN-7682_P164-PWY	RXN-7682	P164-PWY
RXN-7682_SALVADEHYPOX-PWY	RXN-7682	SALVADEHYPOX-PWY
HEME-OXYGENASE-DECYCLIZING-RXN_PWY-5874	HEME-OXYGENASE-DECYCLIZING-RXN	PWY-5874
RXN-9025_GLYCOCAT-PWY	RXN-9025	GLYCOCAT-PWY
RXN-9025_PWY-5941	RXN-9025	PWY-5941
RXN-12173_PWY-6771	RXN-12173	PWY-6771
RXN-12173_PWY-6769	RXN-12173	PWY-6769
DIAMINOPIMDECARB-RXN_PWY-2941	DIAMINOPIMDECARB-RXN	PWY-2941
DIAMINOPIMDECARB-RXN_PWY-5097	DIAMINOPIMDECARB-RXN	PWY-5097
DIAMINOPIMDECARB-RXN_DAPLYSINESYN-PWY	DIAMINOPIMDECARB-RXN	DAPLYSINESYN-PWY
DIAMINOPIMDECARB-RXN_PWY-2942	DIAMINOPIMDECARB-RXN	PWY-2942
SAICARSYN-RXN_PWY-6123	SAICARSYN-RXN	PWY-6123
SAICARSYN-RXN_PWY-6124	SAICARSYN-RXN	PWY-6124
SAICARSYN-RXN_PWY-7234	SAICARSYN-RXN	PWY-7234
RXN66-472_PWY66-387	RXN66-472	PWY66-387
RXN-6002_PWY-3641	RXN-6002	PWY-3641
PNPOXI-RXN_PWY-7282	PNPOXI-RXN	PWY-7282
PNPOXI-RXN_PLPSAL-PWY	PNPOXI-RXN	PLPSAL-PWY
PNPOXI-RXN_PYRIDOXSYN-PWY	PNPOXI-RXN	PYRIDOXSYN-PWY
PNPOXI-RXN_PWY-7204	PNPOXI-RXN	PWY-7204
RXN-9246_PWY-5859	RXN-9246	PWY-5859
RXN-16155_PWY-6433	RXN-16155	PWY-6433
4.2.1.93-RXN_PWY-6938	4.2.1.93-RXN	PWY-6938
RXN-15838_DENITRIFICATION-PWY	RXN-15838	DENITRIFICATION-PWY
RXN-9847_PWY-6061	RXN-9847	PWY-6061
RXN-16630_PWY-7663	RXN-16630	PWY-7663
OROPRIBTRANS-RXN_PWY-7791	OROPRIBTRANS-RXN	PWY-7791
OROPRIBTRANS-RXN_PWY-7790	OROPRIBTRANS-RXN	PWY-7790
OROPRIBTRANS-RXN_PWY-5686	OROPRIBTRANS-RXN	PWY-5686
ASPARAGHYD-RXN_ASPARAGINE-DEG1-PWY-1	ASPARAGHYD-RXN	ASPARAGINE-DEG1-PWY-1
ASPARAGHYD-RXN_ASPARAGINE-DEG1-PWY	ASPARAGHYD-RXN	ASPARAGINE-DEG1-PWY
ASPARAGHYD-RXN_ASPASN-PWY	ASPARAGHYD-RXN	ASPASN-PWY
RXN0-5408_PWY-4702	RXN0-5408	PWY-4702
RXN66-306_PWY66-4	RXN66-306	PWY66-4
RXN66-306_PWY-6074	RXN66-306	PWY-6074
RXN66-306_PWY66-341	RXN66-306	PWY66-341
