reaction	has_metadata@reconstructionData
RXN-12181	RXN-12181_reconstructionData_B_NAPUS_V5
RXN-14386	RXN-14386_reconstructionData_B_NAPUS_V5
TREHALA-RXN	TREHALA-RXN_reconstructionData_B_NAPUS_V5
RXN-602	RXN-602_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-602	RXN-602_reconstructionData_B_NAPUS_V5
RXN-17930	RXN-17930_reconstructionData_B_NAPUS_V5
RXN66-15	RXN66-15_reconstructionData_B_NAPUS_V5
ENOYL-COA-DELTA-ISOM-RXN	ENOYL-COA-DELTA-ISOM-RXN_reconstructionData_B_NAPUS_V5
RXN66-478	RXN66-478_reconstructionData_B_NAPUS_V5
RXN-14089	RXN-14089_reconstructionData_B_NAPUS_V5
3.1.21.5-RXN	3.1.21.5-RXN_reconstructionData_B_NAPUS_V5
RXN0-1147	RXN0-1147_reconstructionData_B_NAPUS_V5
RXN66-146	RXN66-146_reconstructionData_B_NAPUS_V5
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN_reconstructionData_B_NAPUS_V5
RXN-14789	RXN-14789_reconstructionData_B_NAPUS_V5
PREPHENATE-TRANSAMINE-RXN	PREPHENATE-TRANSAMINE-RXN_reconstructionData_B_NAPUS_V5
RXN-7651	RXN-7651_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-7651	RXN-7651_reconstructionData_B_NAPUS_V5
RXN-13684	RXN-13684_reconstructionData_B_NAPUS_V5
RXN-17130	RXN-17130_reconstructionData_B_NAPUS_V5
RXN-17607	RXN-17607_reconstructionData_B_NAPUS_V5
GCVP-RXN	GCVP-RXN_reconstructionData_B_NAPUS_V5
CYSTEINE--TRNA-LIGASE-RXN	CYSTEINE--TRNA-LIGASE-RXN_reconstructionData_B_NAPUS_V5
3.4.21.83-RXN	3.4.21.83-RXN_reconstructionData_B_NAPUS_V5
RXN-10973	RXN-10973_reconstructionData_B_NAPUS_V5
PGLUCONDEHYDRAT-RXN	PGLUCONDEHYDRAT-RXN_reconstructionData_B_NAPUS_V5
RXN0-6522	RXN0-6522_reconstructionData_B_NAPUS_V5
RXN-16114	RXN-16114_reconstructionData_B_NAPUS_V5
KDO-8PSYNTH-RXN	KDO-8PSYNTH-RXN_reconstructionData_B_NAPUS_V5
DGTPTRIPHYDRO-RXN	DGTPTRIPHYDRO-RXN_reconstructionData_B_NAPUS_V5
SPERMIDINESYN-RXN	SPERMIDINESYN-RXN_reconstructionData_B_NAPUS_V5
SPERMIDINESYN-RXN	SPERMIDINESYN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-17609	RXN-17609_reconstructionData_B_NAPUS_V5
RXN1F-66	RXN1F-66_reconstructionData_B_NAPUS_V5
PECTINESTERASE-RXN	PECTINESTERASE-RXN_reconstructionData_B_NAPUS_V5
RXN66-362	RXN66-362_reconstructionData_B_NAPUS_V5
3.6.3.6-RXN	3.6.3.6-RXN_reconstructionData_B_NAPUS_V5
RXN-9804	RXN-9804_reconstructionData_B_NAPUS_V5
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN_reconstructionData_B_NAPUS_V5
RXN-12059	RXN-12059_reconstructionData_B_NAPUS_V5
RXN-16118	RXN-16118_reconstructionData_B_NAPUS_V5
RXN-11486	RXN-11486_reconstructionData_B_NAPUS_V5
RXN66-469	RXN66-469_reconstructionData_B_NAPUS_V5
RXN-16975	RXN-16975_reconstructionData_B_NAPUS_V5
RXN-7970	RXN-7970_reconstructionData_B_NAPUS_V5
PYRIMSYN3-RXN	PYRIMSYN3-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
PYRIMSYN3-RXN	PYRIMSYN3-RXN_reconstructionData_B_NAPUS_V5
RXN-12565	RXN-12565_reconstructionData_B_NAPUS_V5
RXN-12565	RXN-12565_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN66-168	RXN66-168_reconstructionData_B_NAPUS_V5
3.1.4.36-RXN	3.1.4.36-RXN_reconstructionData_B_NAPUS_V5
3.4.22.33-RXN	3.4.22.33-RXN_reconstructionData_B_NAPUS_V5
RXN0-6998	RXN0-6998_reconstructionData_B_NAPUS_V5
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN_reconstructionData_B_NAPUS_V5
RXN-4161	RXN-4161_reconstructionData_B_NAPUS_V5
RXN-4161	RXN-4161_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
LEUCPEL-RXN	LEUCPEL-RXN_reconstructionData_B_NAPUS_V5
RXN66-163	RXN66-163_reconstructionData_B_NAPUS_V5
