xref	METACYC	UM-BBD-CPD	METABOLIGHTS	UNIPROT	NCI	LIGAND-MAP	DRUGBANK	SGD-PATHWAY	HMDB	ARACYC	ECOCYC	UM-BBD-PWY	CAS	PLANTCYC	KNAPSACK	BIGG	LIGAND-RXN	CHEMSPIDER	Wikipedia	PLASMOCYC	RHEA	LIGAND-CPD	REACTOME	PIR	CHEBI	PUBCHEM	HUMANCYC	KEGG-GLYCAN	LIPID_MAPS
VANILLYL_MANDELATE_xrefs			MTBLC27622						HMDB00291				55-10-7					19951553				C05584			27622	6931438			
ACRYLATE_xrefs		c0113	MTBLC37080						HMDB31647									23524				C00511			37080	25188			
RXN-8014_xrefs																	R07442												
PWY-1186_xrefs										PWY-1186																			
MN+3_xrefs													14546-48-6					94848				C19611			29041	105130			
CPD-15818_xrefs			MTBLC47014																						47014	5311110			
CPD-17371_xrefs																									84904	90659898			
2.7.7.35-RXN_xrefs																	R01052				14529								
CPD-196_xrefs			MTBLC57386						HMDB01070							occoa						C01944			57386	25245711			
CPD-4181_xrefs																		10218455								91820426			
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN_xrefs																	R00977				20189								
S-FORMYLGLUTATHIONE-HYDROLASE-RXN_xrefs																	R00527				14961								
KETOLACTOSE-RXN_xrefs				P06219													R04783				33787								
KETOLACTOSE-RXN_xrefs				P11175																									
KETOLACTOSE-RXN_xrefs				P19668																									
KETOLACTOSE-RXN_xrefs				P20043																									
KETOLACTOSE-RXN_xrefs				P16278																									
KETOLACTOSE-RXN_xrefs				P23780																									
KETOLACTOSE-RXN_xrefs				P24131																									
KETOLACTOSE-RXN_xrefs				Q02603																									
KETOLACTOSE-RXN_xrefs				Q53790																									
KETOLACTOSE-RXN_xrefs				P23989																									
KETOLACTOSE-RXN_xrefs				P48982																									
KETOLACTOSE-RXN_xrefs				Q9UYG5																									
KETOLACTOSE-RXN_xrefs				Q02604																									
KETOLACTOSE-RXN_xrefs				P0AC73																									
KETOLACTOSE-RXN_xrefs				O58247																									
KETOLACTOSE-RXN_xrefs				Q9UYH2																									
KETOLACTOSE-RXN_xrefs				P00722																									
KETOLACTOSE-RXN_xrefs				P06864																									
KETOLACTOSE-RXN_xrefs				Q47170																									
KETOLACTOSE-RXN_xrefs				Q59140																									
KETOLACTOSE-RXN_xrefs				P00723																									
KETOLACTOSE-RXN_xrefs				P94248																									
KETOLACTOSE-RXN_xrefs				O31341																									
KETOLACTOSE-RXN_xrefs				P22498																									
KETOLACTOSE-RXN_xrefs				Q02401																									
KETOLACTOSE-RXN_xrefs				P26257																									
KETOLACTOSE-RXN_xrefs				Q59422																									
KETOLACTOSE-RXN_xrefs				P30812																									
KETOLACTOSE-RXN_xrefs				Q12660																									
KETOLACTOSE-RXN_xrefs				P45582																									
KETOLACTOSE-RXN_xrefs				P49676																									
KETOLACTOSE-RXN_xrefs				Q9SCV3																									
KETOLACTOSE-RXN_xrefs				Q9SZI5																									
KETOLACTOSE-RXN_xrefs				O81100																									
KETOLACTOSE-RXN_xrefs				Q42150																									
KETOLACTOSE-RXN_xrefs				P48980																									
KETOLACTOSE-RXN_xrefs				P48981																									
KETOLACTOSE-RXN_xrefs				O86616																									
KETOLACTOSE-RXN_xrefs				P70753																									
KETOLACTOSE-RXN_xrefs				P29853																									
KETOLACTOSE-RXN_xrefs				P94804																									
STRICTOSIDINE-SYNTHASE-RXN_xrefs				Q9VAQ9													R03738				15013								
STRICTOSIDINE-SYNTHASE-RXN_xrefs				P68175																									
