gene	organism	chromosome	start	end
Bo3g001330	Brassica oleracea	C3	151478	152122	C
Bo3g137340	Brassica oleracea	C3	50140595	50145546	C
Bo9g078060	Brassica oleracea	C9	23776565	23777424	C
Bo4g145820	Brassica oleracea	C4	39854546	39855487	C
Bo7g101370	Brassica oleracea	C7	39500527	39502807	C
Bo1g139390	Brassica oleracea	C1	39891722	39892204	C
Bo3g120710	Brassica oleracea	C3	42551363	42553082	C
Bo2g010810	Brassica oleracea	C2	2686995	2690196	C
Bo2g150030	Brassica oleracea	C2	47268005	47269452	C
Bo9g154350	Brassica oleracea	C9	46064019	46066415	C
Bo4g154000	Brassica oleracea	C4	41998778	42000493	C
Bo1g105060	Brassica oleracea	C1	31924532	31925632	C
Bo5g007190	Brassica oleracea	C5	2244419	2246906	C
Bo9g104940	Brassica oleracea	C9	33976999	33979530	C
Bo3g002580	Brassica oleracea	C3	752720	754508	C
Bo5g141860	Brassica oleracea	C5	44066971	44071584	C
Bo2g055770	Brassica oleracea	C2	16138837	16139724	C
Bo1g024420	Brassica oleracea	C1	9039757	9043750	C
Bo4g034910	Brassica oleracea	C4	7563231	7564739	C
Bo9g079580	Brassica oleracea	C9	24236194	24236703	C
Bo9g183220	Brassica oleracea	C9	54090730	54091369	C
Bo4g024360	Brassica oleracea	C4	3731589	3733744	C
Bo5g133230	Brassica oleracea	C5	41563693	41565864	C
Bo8g093240	Brassica oleracea	C8	31971199	31979321	C
Bo1g057020	Brassica oleracea	C1	16911667	16913010	C
Bo7g045370	Brassica oleracea	C7	16864934	16865344	C
Bo8g052820	Brassica oleracea	C8	17478474	17479525	C
Bo1g002680	Brassica oleracea	C1	332921	333825	C
Bo5g140190	Brassica oleracea	C5	43708101	43709561	C
Bo4g091470	Brassica oleracea	C4	22390023	22391989	C
Bo8g095160	Brassica oleracea	C8	32444263	32445256	C
Bo4g184490	Brassica oleracea	C4	48787466	48787936	C
Bo5g134950	Brassica oleracea	C5	41921790	41924156	C
Bo4g188170	Brassica oleracea	C4	50532212	50533141	C
Bo5g143420	Brassica oleracea	C5	44387473	44398249	C
Bo8g054370	Brassica oleracea	C8	17938067	17940564	C
Bo13999s010	Brassica oleracea	Scaffold13999	36	376	C
Bo4g046030	Brassica oleracea	C4	10853908	10855005	C
Bo6g086760	Brassica oleracea	C6	27129736	27137264	C
Bo8g090530	Brassica oleracea	C8	30387133	30394259	C
Bo3g127620	Brassica oleracea	C3	46756373	46757872	C
Bo4g066950	Brassica oleracea	C4	14317742	14319829	C
Bo2g105350	Brassica oleracea	C2	31390626	31395013	C
Bo3g037760	Brassica oleracea	C3	15282166	15282801	C
Bo3g077340	Brassica oleracea	C3	29005517	29007221	C
Bo9g034050	Brassica oleracea	C9	11629650	11629811	C
Bo9g040700	Brassica oleracea	C9	13364782	13365195	C
Bo01291s010	Brassica oleracea	Scaffold01291	11859	15111	C
Bo7g075150	Brassica oleracea	C7	27962217	27963352	C
Bo3g031390	Brassica oleracea	C3	11573488	11574886	C
Bo00935s020	Brassica oleracea	Scaffold00935	891	5723	C
Bo3g003180	Brassica oleracea	C3	1055820	1056368	C
Bo9g010560	Brassica oleracea	C9	3149842	3150621	C
Bo9g010500	Brassica oleracea	C9	3099142	3100604	C
Bo2g055800	Brassica oleracea	C2	16211228	16213797	C
Bo6g015600	Brassica oleracea	C6	3067389	3072811	C
Bo2g043350	Brassica oleracea	C2	11829942	11831706	C
Bo4g156160	Brassica oleracea	C4	42784368	42785698	C
Bo8g115280	Brassica oleracea	C8	40680843	40682064	C
Bo9g097280	Brassica oleracea	C9	31488229	31490077	C
Bo8g077000	Brassica oleracea	C8	25058273	25059134	C
Bo6g081080	Brassica oleracea	C6	24951658	24951864	C
