gene	organism	chromosome	start	end
At4g35890	Arabidopsis thaliana	Chr4	16997138	17000833	
At3g05790	Arabidopsis thaliana	Chr3	1720153	1725182	
At2g40316	Arabidopsis thaliana	Chr2	16836209	16839189	
At3g60250	Arabidopsis thaliana	Chr3	22270336	22272113	
At2g40310	Arabidopsis thaliana	Chr2	16834064	16835711	
At2g48120	Arabidopsis thaliana	Chr2	19679729	19681546	
At2g48121	Arabidopsis thaliana	Chr2	19681816	19682391	
At3g07860	Arabidopsis thaliana	Chr3	2507879	2509509	
At5g45010	Arabidopsis thaliana	Chr5	18167243	18168374	
At1g30040	Arabidopsis thaliana	Chr1	10537647	10539831	
At1g68110	Arabidopsis thaliana	Chr1	25524717	25526150	
At5g64990	Arabidopsis thaliana	Chr5	25963400	25964838	
At5g12260	Arabidopsis thaliana	Chr5	3966364	3968878	
At2g03060	Arabidopsis thaliana	Chr2	901142	903569	
At4g20235	Arabidopsis thaliana	Chr4	10929145	10931277	
At4g20230	Arabidopsis thaliana	Chr4	10924120	10926758	
At1g24310	Arabidopsis thaliana	Chr1	8624060	8626405	
At5g50480	Arabidopsis thaliana	Chr5	20557573	20558487	
At5g53660	Arabidopsis thaliana	Chr5	21794535	21796046	
At5g64330	Arabidopsis thaliana	Chr5	25727336	25730358	
At1g26220	Arabidopsis thaliana	Chr1	9071139	9071861	
At5g26200	Arabidopsis thaliana	Chr5	9157141	9158404	
Atcg01300	Arabidopsis thaliana	Chrc	152505	152787	
At1g71910	Arabidopsis thaliana	Chr1	27064931	27065947	
At4g32040	Arabidopsis thaliana	Chr4	15494064	15496356	
At5g50150	Arabidopsis thaliana	Chr5	20402256	20406731	
At3g62560	Arabidopsis thaliana	Chr3	23137425	23139045	
At5g53592	Arabidopsis thaliana	Chr5	21773687	21774927	
At5g15120	Arabidopsis thaliana	Chr5	4898736	4900581	
At5g53590	Arabidopsis thaliana	Chr5	21771810	21772794	
At1g73510	Arabidopsis thaliana	Chr1	27642385	27643189	
At5g61540	Arabidopsis thaliana	Chr5	24744946	24747524	
At3g30200	Arabidopsis thaliana	Chr3	11827751	11834262	
At5g14290	Arabidopsis thaliana	Chr5	4612096	4614401	
At2g46250	Arabidopsis thaliana	Chr2	18991170	18993327	
At5g39520	Arabidopsis thaliana	Chr5	15823734	15825492	
At5g12840	Arabidopsis thaliana	Chr5	4050839	4053534	
At5g67070	Arabidopsis thaliana	Chr5	26768019	26768846	
At3g20180	Arabidopsis thaliana	Chr3	7043384	7043841	
At3g21850	Arabidopsis thaliana	Chr3	7697088	7697550	
At3g01960	Arabidopsis thaliana	Chr3	324580	325087	
At3g01961	Arabidopsis thaliana	Chr3	325180	325351	
At3g05425	Arabidopsis thaliana	Chr3	1567473	1567605	
At4g23760	Arabidopsis thaliana	Chr4	12381844	12383034	
At2g05810	Arabidopsis thaliana	Chr2	2214011	2217159	
At5g63590	Arabidopsis thaliana	Chr5	25456992	25458470	
At4g37130	Arabidopsis thaliana	Chr4	17489466	17492010	
At1g27570	Arabidopsis thaliana	Chr1	9575537	9582376	
At2g46870	Arabidopsis thaliana	Chr2	19260917	19262404	
At3g20450	Arabidopsis thaliana	Chr3	7130626	7131274	
At2g39900	Arabidopsis thaliana	Chr2	16658655	16660437	
At2g43750	Arabidopsis thaliana	Chr2	18129434	18132552	
At4g08210	Arabidopsis thaliana	Chr4	5183812	5185873	
At5g06960	Arabidopsis thaliana	Chr5	2154779	2157646	
At2g37195	Arabidopsis thaliana	Chr2	15620348	15621632	
At5g49640	Arabidopsis thaliana	Chr5	20151162	20151842	
At3g21580	Arabidopsis thaliana	Chr3	7601968	7603885	
At2g37190	Arabidopsis thaliana	Chr2	15619406	15620119	
At1g22067	Arabidopsis thaliana	Chr1	7787390	7787525	
At1g22065	Arabidopsis thaliana	Chr1	7785775	7786391	
At4g02510	Arabidopsis thaliana	Chr4	1104765	1109600	
At1g22060	Arabidopsis thaliana	Chr1	7773062	7781499	
At1g33820	Arabidopsis thaliana	Chr1	12278437	12279451	
At1g27680	Arabidopsis thaliana	Chr1	9631284	9634597	
At5g47560	Arabidopsis thaliana	Chr5	19287368	19290465	
At2g45750	Arabidopsis thaliana	Chr2	18842538	18845467	
At2g06541	Arabidopsis thaliana	Chr2	2598221	2600326	
At5g43410	Arabidopsis thaliana	Chr5	17435009	17435405	
At5g39820	Arabidopsis thaliana	Chr5	15939299	15940491	
At1g32190	Arabidopsis thaliana	Chr1	11592954	11595982	
At5g24810	Arabidopsis thaliana	Chr5	8516814	8522679	
At5g40450	Arabidopsis thaliana	Chr5	16184649	16195651	
At1g17600	Arabidopsis thaliana	Chr1	6052935	6056664	
At5g35490	Arabidopsis thaliana	Chr5	13689816	13690548	
At4g37790	Arabidopsis thaliana	Chr4	17768041	17769606	
At5g39790	Arabidopsis thaliana	Chr5	15932713	15935261	
At4g34440	Arabidopsis thaliana	Chr4	16465827	16468956	
At4g38140	Arabidopsis thaliana	Chr4	17899867	17900305	
At1g24880	Arabidopsis thaliana	Chr1	8775900	8783775	
At1g24881	Arabidopsis thaliana	Chr1	8784035	8785634	
At5g28640	Arabidopsis thaliana	Chr5	10647569	10649892	
At3g21320	Arabidopsis thaliana	Chr3	7499052	7501841	
At2g18810	Arabidopsis thaliana	Chr2	8147938	8149469	
At2g42400	Arabidopsis thaliana	Chr2	17654231	17656839	
At3g16120	Arabidopsis thaliana	Chr3	5464768	5465531	
At3g11470	Arabidopsis thaliana	Chr3	3610146	3612370	
At4g37860	Arabidopsis thaliana	Chr4	17800325	17801907	
At1g28280	Arabidopsis thaliana	Chr1	9886076	9887478	
At1g28281	Arabidopsis thaliana	Chr1	9887518	9887656	
At3g63233	Arabidopsis thaliana	Chr3	23361536	23361689	
At3g63230	Arabidopsis thaliana	Chr3	23359632	23360338	
At5g30510	Arabidopsis thaliana	Chr5	11619025	11621298	
At2g03880	Arabidopsis thaliana	Chr2	1181536	1183703	
At1g12380	Arabidopsis thaliana	Chr1	4214261	4217132	
