gene	organism	chromosome	start	end
Bra002918	Brassica rapa	A10	6819521	6821169	C
Bra002919	Brassica rapa	A10	6806122	6809959	C
Bra002910	Brassica rapa	A10	6876432	6877451	C
Bra002911	Brassica rapa	A10	6871559	6872098	C
Bra002912	Brassica rapa	A10	6863598	6865803	C
Bra002913	Brassica rapa	A10	6850473	6851905	C
Bra002914	Brassica rapa	A10	6842731	6843039	C
Bra002915	Brassica rapa	A10	6833708	6834217	C
Bra002916	Brassica rapa	A10	6828366	6830482	C
Bra002917	Brassica rapa	A10	6821692	6825645	C
Bra040167	Brassica rapa	A01	4419520	4421967	C
Bra040166	Brassica rapa	A01	4412538	4414529	C
Bra000453	Brassica rapa	A03	11210760	11213776	C
Bra000452	Brassica rapa	A03	11205593	11206702	C
Bra000451	Brassica rapa	A03	11204767	11205147	C
Bra000450	Brassica rapa	A03	11203968	11204162	C
Bra000457	Brassica rapa	A03	11225691	11227759	C
Bra000456	Brassica rapa	A03	11220162	11225001	C
Bra000455	Brassica rapa	A03	11218408	11219571	C
Bra000454	Brassica rapa	A03	11214808	11217122	C
Bra000459	Brassica rapa	A03	11231563	11232281	C
Bra000458	Brassica rapa	A03	11229380	11230302	C
Bra040165	Brassica rapa	A01	4409214	4410350	C
Bra028198	Brassica rapa	A04	6939873	6940103	C
Bra028199	Brassica rapa	A04	6942478	6943824	C
Bra034294	Brassica rapa	A04	12081715	12083264	C
Bra028190	Brassica rapa	A04	6868692	6874592	C
Bra028191	Brassica rapa	A04	6883617	6885796	C
Bra028192	Brassica rapa	A04	6900923	6903327	C
Bra028193	Brassica rapa	A04	6908627	6910294	C
Bra028194	Brassica rapa	A04	6910870	6911886	C
Bra028195	Brassica rapa	A04	6913460	6914795	C
Bra028196	Brassica rapa	A04	6915345	6917780	C
Bra028197	Brassica rapa	A04	6925470	6928804	C
Bra031992	Brassica rapa	A05	24718675	24721288	C
Bra031993	Brassica rapa	A05	24722360	24722611	C
Bra031990	Brassica rapa	A05	24711852	24713348	C
Bra031991	Brassica rapa	A05	24716018	24717647	C
Bra031996	Brassica rapa	A05	24737804	24741418	C
Bra031997	Brassica rapa	A05	24742441	24743800	C
Bra031994	Brassica rapa	A05	24724927	24733341	C
Bra031995	Brassica rapa	A05	24735163	24737286	C
Bra031998	Brassica rapa	A05	24744325	24749610	C
Bra031999	Brassica rapa	A05	24758361	24764716	C
Bra035142	Brassica rapa	A07	25637631	25640049	C
Bra035726	Brassica rapa	A10	4152590	4154604	C
Bra001322	Brassica rapa	A03	15860218	15863970	C
Bra001323	Brassica rapa	A03	15864303	15866085	C
Bra001320	Brassica rapa	A03	15854949	15857784	C
Bra001321	Brassica rapa	A03	15858599	15859677	C
Bra001326	Brassica rapa	A03	15877585	15879564	C
Bra001327	Brassica rapa	A03	15880443	15882506	C
Bra001324	Brassica rapa	A03	15866641	15868388	C
Bra001325	Brassica rapa	A03	15868951	15870819	C
Bra001328	Brassica rapa	A03	15884302	15884802	C
Bra001329	Brassica rapa	A03	15885780	15887574	C
Bra006118	Brassica rapa	A03	2094676	2097299	C
Bra006119	Brassica rapa	A03	2097882	2099447	C
Bra038667	Brassica rapa	A01	24571811	24573508	C
Bra038666	Brassica rapa	A01	24575446	24575796	C
Bra029249	Brassica rapa	A02	25778809	25784632	C
Bra029248	Brassica rapa	A02	25785052	25787422	C
Bra029243	Brassica rapa	A02	25823298	25823732	C
Bra029242	Brassica rapa	A02	25826234	25826719	C
Bra029241	Brassica rapa	A02	25829502	25830046	C
Bra029240	Brassica rapa	A02	25832309	25833927	C
Bra029247	Brassica rapa	A02	25800455	25801777	C
Bra029246	Brassica rapa	A02	25809009	25810829	C
Bra029245	Brassica rapa	A02	25812459	25813833	C
Bra029244	Brassica rapa	A02	25820140	25821571	C
Bra038340	Brassica rapa	A02	10156296	10165652	C
Bra038341	Brassica rapa	A02	10153303	10153665	C
Bra038342	Brassica rapa	A02	10139890	10141409	C
Bra038343	Brassica rapa	A02	10137848	10138303	C
Bra038344	Brassica rapa	A02	10134431	10134856	C
Bra038345	Brassica rapa	A02	10118315	10119812	C
Bra038346	Brassica rapa	A02	10106909	10107961	C
Bra038347	Brassica rapa	A02	10093304	10096975	C
Bra038348	Brassica rapa	A02	10087721	10090129	C
Bra038349	Brassica rapa	A02	10085089	10086513	C
Bra024998	Brassica rapa	A06	23540203	23541945	C
Bra024999	Brassica rapa	A06	23546696	23548498	C
Bra035146	Brassica rapa	A07	25647207	25649300	C
Bra023908	Brassica rapa	A01	20113231	20115319	C
Bra030645	Brassica rapa	A08	20197248	20198927	C
Bra030644	Brassica rapa	A08	20199308	20201291	C
Bra030647	Brassica rapa	A08	20194310	20194903	C
Bra023909	Brassica rapa	A01	20116132	20116281	C
Bra030641	Brassica rapa	A08	20210956	20212217	C
Bra030640	Brassica rapa	A08	20212746	20214198	C
Bra030643	Brassica rapa	A08	20202302	20204774	C
Bra030642	Brassica rapa	A08	20206136	20209983	C
Bra030649	Brassica rapa	A08	20190630	20191880	C
Bra030648	Brassica rapa	A08	20192417	20193090	C
Bra033598	Brassica rapa	A06	24992344	24994967	C
Bra033599	Brassica rapa	A06	24989919	24991391	C
Bra040819	Brassica rapa	Scaffold000270	15189	16865	C
Bra033590	Brassica rapa	A06	25029647	25030345	C
Bra033591	Brassica rapa	A06	25026234	25028847	C
Bra033592	Brassica rapa	A06	25023128	25025325	C
Bra033593	Brassica rapa	A06	25020005	25021074	C
Bra033594	Brassica rapa	A06	25017090	25018693	C
Bra033595	Brassica rapa	A06	25012975	25013723	C
Bra033596	Brassica rapa	A06	25009920	25011118	C
Bra033597	Brassica rapa	A06	25000006	25007288	C
Bra007247	Brassica rapa	A09	29706964	29712551	C
Bra007246	Brassica rapa	A09	29704375	29705940	C
Bra007245	Brassica rapa	A09	29703060	29703643	C
Bra007244	Brassica rapa	A09	29697044	29699543	C
Bra007243	Brassica rapa	A09	29681106	29682512	C
Bra007242	Brassica rapa	A09	29678647	29679514	C
Bra007241	Brassica rapa	A09	29671920	29675212	C
Bra007240	Brassica rapa	A09	29669202	29669873	C
Bra024993	Brassica rapa	A06	23505638	23506771	C
Bra023900	Brassica rapa	A01	20065475	20069094	C
