gene	in@metabolic_network	TRANSCRIPTION-DIRECTION	RIGHT-END-POSITION	LEFT-END-POSITION	CENTISOME-POSITION
BnaA02g06530D	brassica_napus	POSITIVE	3124728	3123924	12.59965    
BnaA09g14350D	brassica_napus	NEGATIVE	8215815	8214751	24.257105    
BnaC08g33890D	brassica_napus	NEGATIVE	32193318	32189874	83.65985    
BnaC04g20260D	brassica_napus	POSITIVE	21362879	21359946	43.653877    
BnaA02g16120D	brassica_napus	POSITIVE	9586079	9585513	38.661026    
BnaA03g25200D	brassica_napus	POSITIVE	12188160	12187700	40.94299    
BnaC02g29360D	brassica_napus	POSITIVE	29429089	29426285	63.663208    
BnaC03g15250D	brassica_napus	NEGATIVE	7569439	7565868	12.490415    
BnaC07g26470D	brassica_napus	POSITIVE	32424077	32420574	72.41508    
BnaA06g02020D	brassica_napus	POSITIVE	1186348	1183348	4.8505054    
BnaA08g02510D	brassica_napus	NEGATIVE	1951377	1949034	10.278664    
BnaA09g55140D	brassica_napus	POSITIVE	3063384	3061557	74.05132    
BnaC01g06950D	brassica_napus	NEGATIVE	3642141	3641914	9.37929    
BnaC07g19840D	brassica_napus	POSITIVE	26591991	26590997	59.394043    
BnaC08g05910D	brassica_napus	POSITIVE	8455237	8454042	21.971626    
BnaC09g19280D	brassica_napus	NEGATIVE	16123806	16121738	33.235065    
BnaA04g29240D	brassica_napus	POSITIVE	1284885	1280166	86.406395    
BnaA02g09950D	brassica_napus	NEGATIVE	4981918	4981448	20.091558    
BnaA05g28360D	brassica_napus	POSITIVE	20155665	20153299	87.36627    
BnaA08g09030D	brassica_napus	NEGATIVE	8714200	8711592	45.942516    
BnaA03g49040D	brassica_napus	POSITIVE	25228933	25226137	84.74391    
BnaAnng30990D	brassica_napus	POSITIVE	35415451	35412532	72.77795    
BnaA08g30230D	brassica_napus	NEGATIVE	1351293	1349645	63.6341    
BnaA06g37790D	brassica_napus	NEGATIVE	179329	178363	7.7997446    
BnaA08g16480D	brassica_napus	POSITIVE	13407694	13400629	70.671196    
BnaA06g28940D	brassica_napus	NEGATIVE	19804082	19797103	81.14769    
BnaA09g01010D	brassica_napus	NEGATIVE	577493	573674	1.6939856    
BnaC03g33580D	brassica_napus	POSITIVE	20455355	20452225	33.76437    
BnaA07g12540D	brassica_napus	POSITIVE	11330866	11329201	47.192184    
BnaC06g20110D	brassica_napus	NEGATIVE	22211086	22210509	59.66404    
BnaC03g73640D	brassica_napus	NEGATIVE	1691786	1690066	25.961803    
BnaC05g30340D	brassica_napus	POSITIVE	29429507	29426565	68.14034    
BnaA02g15380D	brassica_napus	NEGATIVE	8887445	8884283	35.83277    
BnaCnng53570D	brassica_napus	POSITIVE	53192057	53191479	65.93560    
BnaC07g27910D	brassica_napus	POSITIVE	33288211	33287300	74.351006    
BnaA09g54120D	brassica_napus	POSITIVE	2401128	2398627	58.016716    
BnaA01g14500D	brassica_napus	NEGATIVE	7311713	7308196	31.408978    
BnaCnng38780D	brassica_napus	NEGATIVE	37418266	37416830	46.381508    
BnaC08g36400D	brassica_napus	POSITIVE	33685637	33684301	87.543785    
BnaCnng22810D	brassica_napus	POSITIVE	21348016	21347415	26.46203    
BnaA04g18670D	brassica_napus	NEGATIVE	14876608	14871974	77.65371    
BnaA10g25380D	brassica_napus	NEGATIVE	16344502	16340529	93.92065    
BnaC08g41390D	brassica_napus	NEGATIVE	36055357	36051660	93.696434    
BnaC03g26390D	brassica_napus	POSITIVE	14981040	14977911	24.726881    
BnaA08g10770D	brassica_napus	NEGATIVE	9982207	9979837	52.630882    
BnaA03g11150D	brassica_napus	POSITIVE	5010811	5010185	16.831062    
BnaC05g09640D	brassica_napus	NEGATIVE	5241747	5237962	12.12906    
BnaC03g33260D	brassica_napus	POSITIVE	20314691	20314301	33.536674    
BnaA08g17980D	brassica_napus	NEGATIVE	14161797	14159656	74.67409    
BnaC07g43840D	brassica_napus	NEGATIVE	42687807	42685071	95.34201    
BnaA05g34510D	brassica_napus	NEGATIVE	182233	178102	5.902145    
BnaC03g08590D	brassica_napus	NEGATIVE	4068901	4066285	6.712989    
BnaC04g03790D	brassica_napus	POSITIVE	2794584	2791564	5.705192    
BnaA09g42190D	brassica_napus	POSITIVE	29351601	29350733	86.668945    
BnaA06g38640D	brassica_napus	NEGATIVE	668832	666745	29.1565    
BnaA09g05860D	brassica_napus	NEGATIVE	2860224	2859058	8.4424305    
BnaA10g24200D	brassica_napus	POSITIVE	15830360	15828729	90.97897    
BnaA08g05820D	brassica_napus	NEGATIVE	5730055	5729166	30.21403    
BnaC09g09890D	brassica_napus	POSITIVE	6544712	6542976	13.488386    
BnaC04g24690D	brassica_napus	POSITIVE	25664668	25663489	52.449142    
BnaC08g47350D	brassica_napus	NEGATIVE	2175284	2174200	48.113182    
BnaA01g05050D	brassica_napus	POSITIVE	2370271	2369159	10.182110    
BnaC09g04400D	brassica_napus	POSITIVE	2507484	2504878	5.1638217    
BnaC09g14920D	brassica_napus	POSITIVE	11437693	11435042	23.57341    
BnaA03g24000D	brassica_napus	NEGATIVE	11508770	11506467	38.654476    
BnaC08g29480D	brassica_napus	NEGATIVE	29677174	29674146	77.1216    
BnaC05g22820D	brassica_napus	NEGATIVE	16616684	16613836	38.471107    
BnaCnng06570D	brassica_napus	NEGATIVE	5744313	5740424	7.1157684    
BnaC08g30790D	brassica_napus	POSITIVE	30417293	30415794	79.0491    
BnaC03g61960D	brassica_napus	POSITIVE	51187024	51185412	84.50148    
BnaA08g05410D	brassica_napus	POSITIVE	5376406	5375927	28.351143    
BnaC09g35680D	brassica_napus	NEGATIVE	39051436	39048430	80.49859    
BnaC01g06990D	brassica_napus	NEGATIVE	3648415	3646562	9.39126    
BnaC03g19010D	brassica_napus	POSITIVE	9851249	9849150	16.259863    
BnaA01g22360D	brassica_napus	POSITIVE	14716157	14713550	63.23552    
BnaC02g14560D	brassica_napus	POSITIVE	10095260	10092644	21.835245    
BnaA09g50360D	brassica_napus	POSITIVE	33336003	33332135	98.42552    
BnaA01g18450D	brassica_napus	POSITIVE	9994830	9990570	42.937218    
BnaC06g13660D	brassica_napus	POSITIVE	16537980	16536788	44.42274    
BnaC09g31470D	brassica_napus	POSITIVE	34428191	34425919	70.969246    
BnaA09g22180D	brassica_napus	POSITIVE	14767470	14765056	43.59931    
BnaC08g40600D	brassica_napus	NEGATIVE	35750676	35748373	92.9082    
BnaA03g51900D	brassica_napus	POSITIVE	27020752	27019152	90.76732    
BnaA04g23190D	brassica_napus	NEGATIVE	17264584	17263405	90.14051    
BnaC01g38360D	brassica_napus	NEGATIVE	37469329	37468667	96.49583    
BnaC01g33100D	brassica_napus	POSITIVE	32357747	32351413	83.31698    
BnaC07g22670D	brassica_napus	POSITIVE	29071679	29067003	64.92449    
BnaC09g31450D	brassica_napus	NEGATIVE	34418484	34418146	70.95322    
BnaC03g28350D	brassica_napus	POSITIVE	16719815	16719597	27.602213    
BnaCnng38420D	brassica_napus	NEGATIVE	37006537	37005479	45.8716    
BnaA05g00540D	brassica_napus	NEGATIVE	266391	265091	1.1491921    
BnaA07g28460D	brassica_napus	NEGATIVE	20549147	20548138	85.59399    
BnaA06g03870D	brassica_napus	POSITIVE	2336462	2335914	9.574837    
BnaC05g07000D	brassica_napus	NEGATIVE	3444780	3443012	7.9726615    
BnaC01g24380D	brassica_napus	POSITIVE	19142737	19141136	49.295578    
BnaCnng06600D	brassica_napus	POSITIVE	5764206	5762457	7.143081    
BnaC06g27030D	brassica_napus	POSITIVE	28519284	28518073	76.60804    
BnaC08g10400D	brassica_napus	NEGATIVE	15747258	15746420	40.92415    
BnaC02g32000D	brassica_napus	POSITIVE	34419963	34417374	74.46134    
BnaCnng67980D	brassica_napus	POSITIVE	67575618	67573578	83.76349    
BnaC01g25850D	brassica_napus	NEGATIVE	22095653	22094448	56.901463    
BnaC02g00250D	brassica_napus	NEGATIVE	92085	88268	0.19096614    
BnaC07g16150D	brassica_napus	NEGATIVE	22132893	22131360	49.432934    
BnaA03g10860D	brassica_napus	POSITIVE	4872283	4871963	16.366724    
BnaA06g24240D	brassica_napus	POSITIVE	16804115	16800539	68.86487    
BnaA06g34780D	brassica_napus	NEGATIVE	22976831	22976109	94.17832    
BnaA05g34640D	brassica_napus	NEGATIVE	256924	250589	8.304301    
BnaC01g34940D	brassica_napus	POSITIVE	34202675	34201737	88.08225    
BnaA10g21950D	brassica_napus	NEGATIVE	14943078	14942069	85.882706    
BnaA07g14620D	brassica_napus	POSITIVE	12851315	12849147	53.52357    
BnaAnng20820D	brassica_napus	NEGATIVE	22966952	22964417	47.195244    
BnaC03g51230D	brassica_napus	POSITIVE	35754387	35753413	59.02495    
BnaA10g17580D	brassica_napus	NEGATIVE	12964975	12962121	74.50253    
BnaC02g13880D	brassica_napus	NEGATIVE	9208741	9207790	19.92088    
BnaC04g24540D	brassica_napus	NEGATIVE	25509549	25508320	52.132015    
BnaA03g59490D	brassica_napus	POSITIVE	3336263	3320657	55.20524    
BnaA05g22650D	brassica_napus	NEGATIVE	17193488	17192854	74.532486    
BnaC08g37930D	brassica_napus	NEGATIVE	34474601	34473867	89.59583    
BnaA01g24240D	brassica_napus	NEGATIVE	16655308	16654864	71.57885    
BnaC09g33580D	brassica_napus	NEGATIVE	36876079	36872444	76.01277    
BnaA03g07700D	brassica_napus	POSITIVE	3427161	3422048	11.495924    
BnaC09g21050D	brassica_napus	POSITIVE	18349647	18347917	37.824345    
BnaC05g08350D	brassica_napus	NEGATIVE	4365685	4360934	10.098207    
BnaC04g39160D	brassica_napus	NEGATIVE	40183700	40182650	82.12233    
BnaAnng00880D	brassica_napus	POSITIVE	634516	630157	1.295065    
BnaCnng69400D	brassica_napus	NEGATIVE	69280389	69279172	85.87772    
BnaC03g09360D	brassica_napus	POSITIVE	4481059	4480058	7.3960824    
BnaA05g27510D	brassica_napus	NEGATIVE	19819637	19815300	85.90101    
BnaC03g03880D	brassica_napus	NEGATIVE	1882551	1881042	3.1053932    
